FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
34.0,0.39833,0.268,0.871,90.66667,-0.14591,0.4491,0.51014,42.66667,0.49233,0.34667,0.77567,113.66667,0.13574,0.55626,0.62079,0.0,1
36.0,0.431,0.32667,0.72033,94.33333,-0.07167,0.4829,0.53785,40.33333,0.49167,0.456,0.753,106.0,0.00425,0.54084,0.60882,0.66667,1
38.33333,0.468,0.36,0.74167,104.66667,0.19641,0.53287,0.60145,36.66667,0.446,0.29267,0.65767,97.0,-0.13163,0.48607,0.55323,0.66667,0
46.0,0.48767,0.31533,0.748,124.0,0.15266,0.5336,0.61621,40.0,0.42567,0.25833,0.56167,97.66667,-0.06315,0.4664,0.50147,0.66667,0
38.66667,0.46367,0.406,0.91533,105.33333,0.10492,0.53516,0.6023,38.66667,0.44233,0.38233,0.81267,110.66667,-0.09395,0.51332,0.5942,1.0,1
37.66667,0.414,0.307,0.87,101.33333,0.08047,0.46153,0.53085,38.0,0.45933,0.397,0.76033,102.66667,0.03779,0.52409,0.58853,0.66667,0
38.66667,0.466,0.41867,0.86567,111.0,0.13536,0.54819,0.62994,38.0,0.39667,0.24933,0.833,105.66667,-0.17555,0.43625,0.52106,1.0,1
35.0,0.41,0.32,0.837,101.0,-0.0108,0.46055,0.5532,36.33333,0.41567,0.286,0.72833,91.33333,0.21477,0.46466,0.50597,0.33333,1
42.33333,0.46967,0.35933,0.76567,110.66667,0.03071,0.5454,0.5903,42.33333,0.48333,0.413,0.76767,116.0,-0.01324,0.54764,0.6222,0.66667,1
35.66667,0.452,0.32833,0.82833,102.33333,0.17852,0.53001,0.61198,40.66667,0.47433,0.35133,0.75067,106.66667,0.05539,0.53261,0.58871,0.33333,0
35.0,0.441,0.33833,0.78733,103.0,-0.04293,0.50071,0.59804,44.33333,0.46167,0.352,0.786,117.0,-0.02922,0.52749,0.58257,0.66667,1
40.0,0.47767,0.467,0.697,110.66667,-0.06502,0.55334,0.62023,33.66667,0.433,0.345,0.8,96.0,-0.09315,0.49127,0.57817,0.66667,0
39.66667,0.441,0.37467,0.67333,111.33333,-0.10856,0.50533,0.57908,32.33333,0.40633,0.27367,0.74067,89.0,-0.23871,0.45248,0.52771,0.66667,1
39.0,0.45067,0.32633,0.751,99.66667,0.15484,0.49551,0.55121,34.66667,0.44833,0.384,0.79633,101.33333,-0.00226,0.50984,0.61041,0.33333,0
43.33333,0.496,0.38567,0.633,111.0,0.0065,0.55924,0.60413,41.33333,0.46433,0.48833,0.83533,113.33333,0.15643,0.55257,0.60966,0.33333,1
36.66667,0.46433,0.333,0.722,100.33333,0.07544,0.53039,0.59829,42.33333,0.45433,0.39833,0.79767,113.0,0.03558,0.50804,0.57525,0.66667,0
39.0,0.44533,0.41267,0.754,105.0,-0.02661,0.50849,0.56937,35.66667,0.422,0.403,0.78333,104.0,-0.03966,0.48723,0.57544,0.33333,0
40.66667,0.474,0.437,0.755,113.0,0.0873,0.54443,0.61619,35.66667,0.42333,0.28167,0.65767,89.66667,-0.29995,0.46044,0.50668,1.0,0
35.33333,0.45333,0.27133,0.73433,99.0,-0.03689,0.50559,0.58934,39.33333,0.42433,0.26033,0.59867,102.0,-0.09774,0.47105,0.52444,0.66667,0
39.33333,0.43167,0.35333,0.657,99.0,-0.10441,0.48846,0.52412,31.66667,0.371,0.29667,0.84333,94.33333,-0.13069,0.42732,0.51893,1.0,0
37.66667,0.43967,0.354,0.70633,104.0,0.02095,0.49033,0.56562,43.0,0.454,0.378,0.89133,114.66667,0.0015,0.51583,0.57973,0.66667,0
45.0,0.48733,0.39233,0.72233,114.0,0.11978,0.54845,0.59301,37.33333,0.48233,0.42033,0.797,102.0,0.05278,0.53165,0.61443,0.33333,1
36.33333,0.46867,0.405,0.83167,106.33333,0.19399,0.55211,0.64167,45.33333,0.54933,0.38333,0.81033,114.33333,0.06671,0.60389,0.66224,0.66667,0
47.66667,0.50933,0.35167,0.65067,119.0,0.07072,0.56808,0.60805,42.0,0.493,0.42833,0.75367,114.66667,0.00831,0.58239,0.63942,0.33333,1
35.66667,0.43633,0.35833,0.798,103.33333,0.12151,0.50852,0.59314,36.33333,0.41533,0.32767,0.83967,98.66667,0.06342,0.47083,0.53799,0.33333,0
38.66667,0.42967,0.37867,0.64033,100.0,-0.01069,0.49853,0.53522,36.33333,0.432,0.36867,0.78567,102.33333,-0.11296,0.50798,0.57587,0.66667,1
34.0,0.42133,0.31467,0.769,94.66667,-0.12361,0.47766,0.55103,33.33333,0.422,0.343,0.77767,100.0,-0.0205,0.48306,0.58217,0.66667,1
34.66667,0.42167,0.32633,0.753,90.33333,-0.11707,0.47848,0.52753,34.33333,0.414,0.34567,0.789,98.33333,-0.18151,0.46837,0.5552,0.66667,1
39.0,0.431,0.256,0.788,111.33333,0.11105,0.47746,0.57016,39.33333,0.48033,0.40233,0.735,106.66667,0.10553,0.55659,0.61689,0.33333,1
42.66667,0.49033,0.32367,0.676,109.33333,-0.0819,0.54024,0.59418,37.33333,0.44433,0.33367,0.75567,105.33333,0.01201,0.50497,0.58649,0.33333,0
35.0,0.42967,0.29,0.70733,95.0,-0.30513,0.46568,0.5414,32.33333,0.41333,0.35333,0.71667,85.66667,-0.20395,0.47356,0.52367,1.0,0
39.66667,0.486,0.28067,0.756,103.33333,-0.00445,0.52776,0.59728,34.33333,0.42933,0.32233,0.72967,101.33333,-0.07494,0.48564,0.5813,0.66667,1
30.33333,0.39933,0.30333,0.78467,87.66667,-0.25537,0.45583,0.53904,38.33333,0.45233,0.391,0.77333,109.66667,0.19389,0.53481,0.60952,0.0,0
37.33333,0.445,0.36467,0.756,99.66667,-0.05321,0.5205,0.57005,36.33333,0.42567,0.37467,0.732,100.33333,-0.17181,0.48208,0.55153,0.66667,0
43.66667,0.51333,0.43667,0.79967,112.0,0.25273,0.58436,0.63231,41.66667,0.49867,0.40967,0.802,115.33333,0.12557,0.58439,0.65218,0.0,0
44.33333,0.48467,0.37,0.72233,118.66667,0.16965,0.53186,0.60902,41.0,0.45533,0.37033,0.71233,111.66667,-0.04778,0.505,0.57909,0.66667,1
